date,text,media_type
2023-12-18 17:04:02+00:00,"https://youtu.be/5dboem-8kma?si=ldlueecnfuljvdzl   👈👈

በቀን አንዴ ብቻ የሚባለው የቢዝነስ አማካሪ 

በ 10,000 ብር ብቻ የተጀመረ ቢዝነስ እስከ ሚሊየኖች ያየገው የፕራግማ ኢንቨስትመንት መስራች መርድ ብስራት 

ብላክ ማርኬት ዋጋ ማነው ሚተምነው ?

ኢትዮጵያ ውስጥ ቢዝነስ ለመጀመር ጥሩ ሰአት ነው ወይ ??

3 ቢዝነስ ስንጀምር የምንሰራው ስህተቶች !

አሁኑኑ ይመልከተቱ  👇👇

https://youtu.be/5dboem-8kma?si=ldlueecnfuljvdzl",MessageMediaWebPage
2023-11-03 16:14:39+00:00,"ዶክተርስ ኢትዮጵያ በ አዲስ አቀራረብ በ ቴሌቪዥን ፕሮግራሙን ለመጀመር ከፋተኛ ዝግጅት በማድረግ ላይ ይገኛል ።

ዩሃንስ ግርማ ጆኒ ( በ ቲክቶክ ከ 500,000) በላይ ተከታይ ያገኘው ከ አሜሪካ ወደ ኢትዮጵያ 
ገንዳ ውስጥ ከመተኛት እስከ ከፋተኛ ተከፋይ በኢትዮጵያ ( 1 take production ) በመባል የሚታወቀው ዩሃንስ ግርማ ( ጆኒ) 

ከዲፕሬሽን እስከ ታዋቂነትን ያተረፈው ጆኒ 

አሁኑኑ ይመልከቱ 👇

https://youtu.be/gwvn5ejqpko?si=xarssxiedzte91gy",MessageMediaWebPage
2023-10-02 16:37:39+00:00,"ሞት በስኳር 

ለልጆቻችን የምናሲዘው ምሳቃ ሳናቀው እድሚያቸውን ይቀንሰው ይሆን 

የታሸገ ትክክለኛ ጁስ ኢትዮጵያ ውስጥ የለም...!

ሁሉም ወላጅ ሊያየው የሚገባ

የታሸጉ ጁሶች መጠጣት እራስን ለከፍተኛ ጉዳት እስከ ሞት ድረስ ማጋለጥ ነው !

ለሁሉም ኢኮኖሚ ጤናንም የሚጠብቅ አመጋገብ የቱ ነው??

https://youtu.be/ohisrrnf7i0?si=absgm414yst_kjnq",MessageMediaWebPage
2023-09-16 07:54:32+00:00,"ከ hiv የተፈወሰ ሰው አጋጥሟችሁ ያቃል ? ፈውስ እና ህክምና ?

ሙሉ ቪዲዮውን ተመልክተው ሃሳብ አስተያየቶን ያካፍሉን 👇👇👇👇

https://youtu.be/tteerzxih_q?si=jkhyfwcc3sfxbc8l",MessageMediaWebPage
2023-09-01 16:16:15+00:00,"በቅርብ ጊዜ በሃገራችን ላይ እየተስተዋለ ያለ የተመሳሳይ ፆታ ( homosexuality ) ግብረ ሰዶም በተለያዩ ቦታዎች ላይ እየታየ ይገኛል

ይህም አጥብቀን ምንቃወመው ጉዳይ ሲሆን 

- ይህ ችግር በህምና ይለያል ወይ ?
- ቅድመ ምልክት አለው ወይ ?

ወላጆች ልጆቻችሁን እንዴት መጠበቅ ትችላለቹ ህክምናስ አለው ወይ ??

በምንመገበው ምግብ ሊቀይሩየን ይችላሉ ወይ ? 

አሁኑኑ ገብተው ሙሉ ቪዲዮውን ይመልከቱ !

https://youtu.be/0k65p5ouw7s?si=qaugo75bua3amqxd",MessageMediaWebPage
2023-08-29 17:20:05+00:00,"👇👇👇👇👇👇 https://youtu.be/-ar1ko2dbfw?si=47cxlztlmhx1nlqc  
**
ዶክተርስ ኢትዮጽያ በአዲስ ፕሮገራም ጀመረ**

ማረጥ  (**ሜኖፖዝ ) ጋር ተያይዞ የሚመጣ ሴቶች ላይ የሚከሰት የጤና ችግሮች**

**ሴቶች ላይ የሚከሰት የ ግብረስጋ ግንኙነት ስሜት መቀነስ ?**


**የሴቶች የወር አበባ ግዜ እና ሌሎችም ጉዳዮች ተነስተዋል አሁኑኑ ይመልከቱ !!
**

**ከ ቴሌቪዥን ፕሮግራሞቻችን በተጨማሪ አዲስ በልዩ አቀራረብ ይበልጥ የናንተን የተመልካች ጥያቄ ለመመለስ **

ይህን የመሰለ ፕሮግራም ይዘን መተናል 


የጤና ጥያቄዎን ለመላክ @doctorset 


https://youtu.be/-ar1ko2dbfw?si=47cxlztlmhx1nlqc",MessageMediaWebPage
2022-08-02 17:42:08+00:00,"ክረምቱን ስፖርት መስራት አስበው ጂም ለመግባት ካልቻሉ ባሉበት ቦታ ሆነው

እነዚህን እንቅስቃሴዎች በማድረግ በ አጭር ግዜ ውስጥ ለውጥ ማምጣት ይችላሉ 

እቤትዎ ሆነው ጠዎት ወይንም ማታ ላይ በ 5 ደቃቃ ውስጥ ብቻ 

- የጎን ቦርጭ(ስብ) ለማጥፋት 
- ቀንዎን በንቃት ለመጀመር 

እነዚህን እንቅስቃሴዎች ያድርጉ 
ለሁሉም እድሜ ክልል የሚሆን እንቅስቃሴ ስለሆነ ከ ቤተሰቦ ጋር መስራት ይችላሉ !!

ሊንኩን በመጫን ይመልከቱ / ዶክተርስ ኢትዮጵያ 
👇👇👇👇👇
https://youtu.be/0uitzjebh90",MessageMediaWebPage
2022-06-12 17:15:47+00:00,"ስፖርት የመስራት ሱስ ይኖር ይሆን?

በአሁኑ ወቅት ብዙ የስፖርት መስሪያ ቦታዎች ተጨናንቀው ይታያል

ስፖርት መስራት ለጤና ጠቃሚ ቢሆንም እንዳንድ ግዜ ግን ከዛ በላይም አልፎ ስፖርት ካልሰራው ዲፕሬሽን ውስጥ ገባለው / ሰውነቴ ይበላሻል የሚሉ ሰዎችም አሉ!

ሱስ ማለት ራስን ለ ሆነ ነገር ተገዢ ማድረግ ነው! 

   ስለዚህ ስፖርት መስራት እውነት ሱስ ይሆን?

👇👇👇 ሙሉ ቪዲዮውን በ ዮቲውብ ይመልከቱ 

 ስፖርት ቤት (ጂም) ለሚያበዙ ሁሉ ሼር ያድርጉ!
👇👇👇
https://youtu.be/wplrurtqxn8",MessageMediaWebPage
2022-05-31 17:51:13+00:00,"ድንገተኛ አደጋ / የአጥንት ስብራት

አያርገውና ድንገተኛ የሆነ አደጋ ቢደርስቦ ምን ማድረግ እንዳለቦ ያቃሉ?

በሃገራችን የመኪና አደጋ በ ከፍተኛ ደረጃ አየጨመረ እና የብዙ ሰዎችን ሂወት እየቀጠፈም ይገኛል ።

በሃገራችን ያለውም ወቅታዊ ሁኔታም ጦርነቶች ብዙ ሰዎችን ለ ድንገተኛ የሆነ አደጋዎች : ስብራቶች ያጋልጣል።

ዶ/ር ቃልቂዳን (አጥንት ስፔሻሊስት ሃኪም) ስለ ድንገተኛ አደጋ እና ስብራቶች አብራርቶልናል

እርሶም ይህ ችግር ቢደርስቦ ማድረግ ያለቦትን ነገር ቀድመው ይወቁ 

**ዶክተርስ ኢትዮጵያ በ አዳዲስ ፕሮግራሞችና የናንተን ጥያቄዎች በሶሻል ሚዲያ መልስ የሚያገኙበትን መንገድ እያስተካከልን ሲሆን ከ ትንሽ የ እረፍት ግዜያት በኋላ በ ቴሌቪዥን ፕሮግማችን በ ፋና ቴሌቪዥን ያገኙናል**

ከታች ያለውን በመጫን ይመልከቱ!
👇👇👇👇👇👇👇
https://youtu.be/qi-8oqw80ui",MessageMediaWebPage
2022-05-20 18:04:53+00:00,"ከትንሽ ግዚያት በፊት ስፖርት መስራት እንደ ቅንጦት ይታይ ነበር አሁን ላይ ግን በ ስፖርት መስራያ ቦታዎች ላይ ብዙዎች ሲሰሩ ይታያል

ይህንንም ተከትሎ ስፖርት ማወቅ ያለብን በጣም አስፈላጊ ነገር አለ!

ብዙ ሰው አንድ አመት ያህል ሰርቻለው ለውጥ ምንም የለኝም ! ስፖርት ጥቅም የለውም ይላል

እኛ ምን መስራት እንዳለቦት ሚስጥሩን እንንገሮት!
  ከዚ በኋላ ጊዜዎን ሳያባክኑ በአጭር ግዜ ውስጥ 
ለውጦን ያያሉ።

በዚህ ዮቲውብ ቪዲዮ ላይ 

ምን መስራት እንዳለቦት ለ ጀማሪ እንዲሁም በመስራት ላይ ላላቹ 

አጭር ቪዲዮ ይመልከቱ
👇👇👇👇👇👇
https://youtu.be/_iewt07becg",MessageMediaWebPage
2022-05-15 15:59:10+00:00,"**ልጆች ላላችሁ / አባት እናት ወይንም እህት ወንድም / በቅርቡ ልጅ ለመውለድ የምታስቡ / ባሁኑ ሰአት እርግዝና ላይ ላላችሁ ።**

ልጆች አንዳንድ ግዜ ምግብ አልመገብ ይላሉ  ይህ ደግሞ ለወላጅ በጣም አስጨናቂ ነገር ነው !

ህፃናት ምግብ አልመገብ የሚሉት በምን ምክንያት ይሆን ?

**ህፃናት  ከተወለዱ 1 ሰዐት ጀምሮ የእናት ጡት ወተትን ማግኘት አለባቸው : የእናት ጡት ወተትን የሚወስዱ ልጆች ወደፊት የመወፈር እድላቸው በበሽታ የመጠቃት እድላቸው አነስተኛ ነው ።

ህፃናት ስድስት ወር ሲሞላቸው ተጨማሪ ምግብ መመገብ ሲፈልጉ አንዳንድ ምልክቶችን ያሳያሉ።

ህፃናት የምግብ መመገብ ፍላጎታቸው ለምን ይቀንሳል ? 

ዶ/ር ኤልሳቤጥ ለዚህ መልስ ይህን ትለናለች
**
**በ ዮቲውብ ቻናላችን ላይ የ ዶ/ርን ስልክ ያስቀመጥን ሲሆን በ ግል ለማማከር መደወል ትችላላችሁ ።
**
👇👇👇👇

https://youtu.be/v6zwvhcyfxi",MessageMediaWebPage
